City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Hofn,IS,35.92,overcast clouds,64.2539,-15.2082,Hótel Höfn
145,Nago,JP,66.2,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
146,Sorland,NO,37.09,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
148,Methven,NZ,66.0,scattered clouds,-43.6333,171.65,Brinkley Resort
150,Havoysund,NO,30.2,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
151,Kamiichi,JP,43.0,broken clouds,36.7,137.3667,旅館 だんごや
152,Kaspiyskiy,RU,40.77,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
153,Arcata,US,53.01,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
159,Busselton,AU,64.99,clear sky,-33.65,115.3333,Observatory Guest House
161,Escanaba,US,32.0,snow,45.7453,-87.0646,Sunset Lodge
165,Saint George,US,51.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
166,Asilah,MA,57.2,clear sky,35.465,-6.0348,Hotel Zelis
168,Marondera,ZW,60.22,clear sky,-18.1853,31.5519,HopeFay Conference Centre
169,Roma,US,25.0,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
172,Hamilton,US,37.4,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
179,Washington,US,44.6,few clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
180,Port Elizabeth,ZA,62.6,clear sky,-33.918,25.5701,39 On Nile Guest House
185,Kodiak,US,30.2,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
191,Stornoway,GB,37.4,overcast clouds,58.2093,-6.3865,Caladh Inn
192,Maarianhamina,AX,19.4,light snow,60.0973,19.9348,Park Alandia Hotel
193,Longyearbyen,SJ,15.8,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
195,Palmer,US,24.01,few clouds,42.1584,-72.3287,Wedgewood Motel
197,Gorno-Altaysk,RU,21.02,overcast clouds,51.9561,85.955,"Otel' "" Ryzhiy Pos"""
199,Port Lincoln,AU,61.84,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
204,Bayir,TR,42.8,mist,37.2687,28.2167,Hotel Babadag
208,Dunedin,NZ,57.0,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
210,Nouadhibou,MR,64.4,clear sky,20.930999999999997,-17.0347,El Medina
