City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Tura,25.5198,90.2201,58.19,59,0,3.31,IN,2021-02-03 22:12:02
161,Kinsale,51.7075,-8.5306,46.99,81,75,21.85,IE,2021-02-03 22:16:47
162,Andenes,69.3143,16.1194,32.0,80,75,28.77,NO,2021-02-03 22:16:47
163,Kinablangan,7.6947,126.5503,77.02,82,85,3.02,PH,2021-02-03 22:16:47
164,Palauig,15.435,119.9045,75.33,66,30,6.73,PH,2021-02-03 22:16:47
165,Mizdah,31.4451,12.9801,51.85,63,0,1.07,LY,2021-02-03 22:16:47
166,Porgera,-5.4667,143.2,46.09,100,100,0.4,PG,2021-02-03 22:16:47
167,Nokaneng,-19.6667,22.2667,71.4,89,100,1.52,BW,2021-02-03 22:16:47
168,Port Hardy,50.6996,-127.4199,41.0,87,90,3.44,CA,2021-02-03 22:16:47
169,Saint-Francois,46.4154,3.9054,48.2,76,0,3.44,FR,2021-02-03 22:16:47
170,Coihaique,-45.5752,-72.0662,86.0,35,0,11.5,CL,2021-02-03 22:15:41
171,Henties Bay,-22.116,14.2845,66.99,84,99,5.84,NA,2021-02-03 22:16:48
172,Bam,29.106,58.357,47.07,46,0,1.92,IR,2021-02-03 22:16:48
173,Mahebourg,-20.4081,57.7,75.2,88,75,5.75,MU,2021-02-03 22:16:48
174,Salalah,17.0151,54.0924,66.2,59,0,3.44,OM,2021-02-03 22:16:48
175,Port Augusta,-32.5,137.7667,77.0,60,90,2.3,AU,2021-02-03 22:16:48
176,Port Lincoln,-34.7333,135.8667,64.18,70,100,5.86,AU,2021-02-03 22:16:31
177,Tiarei,-17.5333,-149.3333,77.0,83,40,5.75,PF,2021-02-03 22:16:48
178,Provideniya,64.3833,-173.3,-5.93,84,100,14.85,RU,2021-02-03 22:12:17
179,Greenfield,42.9614,-88.0126,34.0,51,75,8.05,US,2021-02-03 22:16:48
180,Vardo,70.3705,31.1107,30.2,69,75,20.71,NO,2021-02-03 22:16:48
181,Nanning,22.8167,108.3167,59.0,94,4,4.47,CN,2021-02-03 22:16:49
182,Kuruman,-27.4524,23.4325,64.0,96,64,11.65,ZA,2021-02-03 22:16:49
183,Bengkulu,-3.8004,102.2655,75.74,86,100,5.35,ID,2021-02-03 22:16:49
184,Chara,56.9064,118.2631,-29.52,66,51,0.4,RU,2021-02-03 22:16:49
185,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.64,77,39,7.96,BR,2021-02-03 22:16:49
186,Kirakira,-10.4544,161.9205,79.56,85,100,19.26,SB,2021-02-03 22:16:49
187,Peniche,39.3558,-9.3811,55.0,89,49,7.0,PT,2021-02-03 22:16:49
188,Victoria,22.2855,114.1577,64.0,70,0,11.43,HK,2021-02-03 22:15:07
189,Olivenza,38.6832,-7.103,53.01,95,100,1.99,ES,2021-02-03 22:16:50
190,Kirensk,57.7853,108.1119,3.99,93,100,7.09,RU,2021-02-03 22:16:50
191,Takoradi,4.8845,-1.7554,80.74,83,77,9.53,GH,2021-02-03 22:16:50
192,Erenhot,43.6475,111.9767,14.22,85,0,15.48,CN,2021-02-03 22:16:50
193,Aykhal,66.0,111.5,-23.57,83,100,1.77,RU,2021-02-03 22:16:50
194,Camacha,33.0833,-16.3333,57.2,77,20,8.05,PT,2021-02-03 22:16:50
195,Saskylakh,71.9167,114.0833,-33.14,79,56,8.97,RU,2021-02-03 22:16:50
196,Kavieng,-2.5744,150.7967,83.46,69,75,4.68,PG,2021-02-03 22:16:50
197,Yerbogachen,61.2767,108.0108,-14.71,89,100,3.11,RU,2021-02-03 22:16:50
198,Santiago,-33.4569,-70.6483,90.0,16,0,6.91,CL,2021-02-03 22:12:03
199,Odweyne,9.4092,45.064,63.18,23,0,14.5,SO,2021-02-03 22:16:51
200,Polunochnoye,60.8697,60.4153,6.39,92,20,6.29,RU,2021-02-03 22:16:51
201,Hun,29.1268,15.9477,53.01,64,0,2.89,LY,2021-02-03 22:16:51
202,Narsaq,60.9167,-46.05,15.8,48,90,11.5,GL,2021-02-03 22:16:51
203,Yakovlevka,44.425,133.4772,-17.82,84,4,3.33,RU,2021-02-03 22:16:51
204,Bud,39.447,-86.1758,35.01,70,0,4.36,US,2021-02-03 22:16:51
205,San Pedro De Macoris,18.4616,-69.2972,82.4,69,20,9.22,DO,2021-02-03 22:16:51
206,Olinda,-8.0089,-34.8553,78.8,69,40,6.91,BR,2021-02-03 22:16:51
207,Christchurch,-43.5333,172.6333,62.01,63,90,13.8,NZ,2021-02-03 22:13:12
208,Port Blair,11.6667,92.75,76.17,75,100,8.77,IN,2021-02-03 22:16:51
209,Tshikapa,-6.4167,20.8,70.63,92,92,2.82,CD,2021-02-03 22:16:52
210,Vila Franca Do Campo,37.7167,-25.4333,51.8,66,40,8.05,PT,2021-02-03 22:16:52
211,Asahikawa,43.7678,142.3703,8.6,66,40,6.91,JP,2021-02-03 22:13:51
212,Marawi,7.9986,124.2928,73.99,93,97,5.01,PH,2021-02-03 22:16:52
213,Banda Aceh,5.5577,95.3222,77.2,81,76,13.2,ID,2021-02-03 22:16:52
214,Dikson,73.5069,80.5464,-3.53,91,100,15.17,RU,2021-02-03 22:16:52
215,Husavik,66.0449,-17.3389,15.8,79,0,10.36,IS,2021-02-03 22:16:52
216,Sembe,1.6481,14.5806,73.99,85,47,2.51,CG,2021-02-03 22:16:52
217,Mount Gambier,-37.8333,140.7667,59.0,82,90,5.75,AU,2021-02-03 22:13:10
218,Namibe,-15.1961,12.1522,72.55,70,98,8.61,AO,2021-02-03 22:16:52
219,Qovlar,40.948,45.735,39.2,81,40,4.61,AZ,2021-02-03 22:16:53
220,Airai,-8.9266,125.4092,61.43,100,100,4.99,TL,2021-02-03 22:16:53
221,Lebu,-37.6167,-73.65,61.97,78,0,12.5,CL,2021-02-03 22:16:53
222,Mukhen,48.1,136.1,-16.51,85,68,8.81,RU,2021-02-03 22:12:15
223,Darhan,49.4867,105.9228,7.05,86,69,7.38,MN,2021-02-03 22:16:53
224,Georgetown,5.4112,100.3354,77.0,73,20,1.14,MY,2021-02-03 22:15:10
225,Tiksi,71.6872,128.8694,-28.73,83,29,2.55,RU,2021-02-03 22:16:43
226,Dongsheng,39.8161,109.9776,17.1,70,7,11.18,CN,2021-02-03 22:16:53
227,Tautira,-17.7333,-149.15,77.0,83,40,5.75,PF,2021-02-03 22:16:54
228,Mazamari,-11.3258,-74.5308,80.83,69,100,1.23,PE,2021-02-03 22:16:54
229,Ust-Ilimsk,58.0006,102.6619,6.08,94,100,0.67,RU,2021-02-03 22:12:13
230,Cabedelo,-6.9811,-34.8339,80.6,78,20,10.36,BR,2021-02-03 22:16:54
231,Nakano,36.75,138.3667,26.01,88,51,4.23,JP,2021-02-03 22:12:45
232,Sao Filipe,14.8961,-24.4956,72.41,76,71,8.41,CV,2021-02-03 22:16:54
233,Oyotun,-6.8519,-79.3036,77.0,61,0,24.16,PE,2021-02-03 22:16:54
234,Rocha,-34.4833,-54.3333,66.79,95,100,10.27,UY,2021-02-03 22:16:54
235,College,64.8569,-147.8028,-9.4,70,90,5.75,US,2021-02-03 22:16:47
236,Araouane,18.9048,-3.5265,73.53,19,1,7.05,ML,2021-02-03 22:16:54
237,Te Anau,-45.4167,167.7167,55.38,60,52,0.87,NZ,2021-02-03 22:16:54
238,Nanortalik,60.1432,-45.2371,17.2,79,0,17.36,GL,2021-02-03 22:16:10
239,Tikapur,28.5,81.1333,57.99,30,1,5.01,NP,2021-02-03 22:16:55
240,Nikolskoye,59.7035,30.7861,21.0,92,90,17.9,RU,2021-02-03 22:16:55
241,Cayenne,4.9333,-52.3333,80.6,83,75,13.8,GF,2021-02-03 22:15:34
242,Barra Do Corda,-5.5,-45.25,77.27,88,71,0.38,BR,2021-02-03 22:16:55
243,Tabou,4.423,-7.3528,78.76,88,15,6.64,CI,2021-02-03 22:16:55
244,Olga,43.7444,135.2892,-6.41,84,0,5.99,RU,2021-02-03 22:16:55
245,Mikhaylovskoye,51.8239,79.7172,31.39,99,100,14.29,RU,2021-02-03 22:16:55
246,Chernyshevskiy,63.0128,112.4714,-28.05,86,100,3.29,RU,2021-02-03 22:16:55
247,Richards Bay,-28.783,32.0377,74.46,93,100,6.78,ZA,2021-02-03 22:16:55
248,Grao Mogol,-16.5594,-42.8897,73.69,70,77,1.95,BR,2021-02-03 22:16:56
249,Geraldton,-28.7667,114.6,69.8,64,10,21.85,AU,2021-02-03 22:16:56
250,Alaca,40.1683,34.8425,43.65,62,66,1.57,TR,2021-02-03 22:16:56
251,Mahibadhoo,3.7833,72.9667,81.5,76,100,19.55,MV,2021-02-03 22:16:56
252,Ossora,59.2353,163.0719,23.04,97,50,21.99,RU,2021-02-03 22:16:56
253,Padang,-0.9492,100.3543,73.4,100,40,2.3,ID,2021-02-03 22:16:56
254,Ryotsu,38.0833,138.4333,35.6,93,75,11.5,JP,2021-02-03 22:16:56
255,Mareeba,-17.0,145.4333,78.8,78,81,3.44,AU,2021-02-03 22:16:56
256,Chokurdakh,70.6333,147.9167,-2.76,92,100,9.15,RU,2021-02-03 22:16:56
257,Rameshki,57.3439,36.0453,19.76,98,95,5.01,RU,2021-02-03 22:16:56
258,Nakamura,32.9833,132.9333,34.14,88,0,4.03,JP,2021-02-03 22:16:57
259,Ciudad Bolivar,8.1222,-63.5497,88.65,52,93,12.86,VE,2021-02-03 22:16:57
260,Barcelos,41.5388,-8.6151,53.6,87,40,12.66,PT,2021-02-03 22:16:57
261,Ceres,37.5949,-120.9577,57.0,50,90,11.5,US,2021-02-03 22:12:55
262,Tete,-16.1564,33.5867,77.0,100,40,2.19,MZ,2021-02-03 22:11:58
263,Qaanaaq,77.484,-69.3632,-21.44,66,68,4.27,GL,2021-02-03 22:16:14
264,Thiruvananthapuram,8.4833,76.9167,80.6,78,20,2.3,IN,2021-02-03 22:16:57
265,Rajanpur,29.1035,70.325,60.08,35,95,14.97,PK,2021-02-03 22:16:57
266,Urazovka,55.4013,45.6186,29.57,98,100,8.34,RU,2021-02-03 22:16:58
267,Ahipara,-35.1667,173.1667,72.37,51,94,0.85,NZ,2021-02-03 22:16:58
268,Praia Da Vitoria,38.7333,-27.0667,53.6,71,40,28.74,PT,2021-02-03 22:16:58
269,Umm Lajj,25.0213,37.2685,75.7,81,48,21.3,SA,2021-02-03 22:16:58
270,Bambous Virieux,-20.3428,57.7575,75.2,88,75,5.75,MU,2021-02-03 22:16:58
271,Tlaxco,19.6167,-98.1167,77.0,11,1,11.5,MX,2021-02-03 22:16:58
272,Savannah Bight,16.45,-85.85,77.0,68,75,4.61,HN,2021-02-03 22:16:58
273,Isangel,-19.55,169.2667,84.2,70,20,9.22,VU,2021-02-03 22:16:33
274,Port Hedland,-20.3167,118.5667,80.6,83,40,5.75,AU,2021-02-03 22:16:58
275,Evensk,61.95,159.2333,11.14,91,100,38.92,RU,2021-02-03 22:16:59
276,Roseburg,43.2165,-123.3417,48.99,61,90,6.91,US,2021-02-03 22:16:59
277,Hami,42.8,93.45,23.77,83,1,1.63,CN,2021-02-03 22:16:59
278,Minas,-34.3759,-55.2377,70.0,94,90,16.11,UY,2021-02-03 22:16:59
279,Ternate,0.8,127.4,79.52,80,98,5.06,ID,2021-02-03 22:16:59
280,Socorro,31.6546,-106.3033,77.0,15,75,16.11,US,2021-02-03 22:16:59
281,Fortuna,40.5982,-124.1573,53.01,66,40,10.36,US,2021-02-03 22:16:59
282,Yumen,40.2833,97.2,25.27,69,15,18.03,CN,2021-02-03 22:16:59
283,Los Llanos De Aridane,28.6585,-17.9182,64.4,72,90,2.3,ES,2021-02-03 22:16:09
284,Boa Vista,2.8197,-60.6733,86.0,70,40,3.44,BR,2021-02-03 22:12:50
285,Quatre Cocos,-20.2078,57.7625,75.2,88,75,5.75,MU,2021-02-03 22:17:00
286,Duluth,46.7833,-92.1066,32.0,86,1,9.22,US,2021-02-03 22:12:34
