City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
185,Vigrestad,58.5667,5.7,23.0,54,0,9.22,NO,clear sky
186,Imeni Poliny Osipenko,52.4201,136.4853,-5.48,91,100,6.24,RU,overcast clouds
187,Suixi,33.8907,116.7747,48.97,63,0,6.17,CN,clear sky
188,Norman Wells,65.282,-126.8329,-34.6,74,75,5.75,CA,broken clouds
189,Vanderhoof,54.0166,-124.0198,4.17,92,100,2.19,CA,light snow
190,Port-Gentil,-0.7193,8.7815,84.2,79,40,9.22,GA,scattered clouds
191,Airai,-8.9266,125.4092,60.89,97,100,2.13,TL,overcast clouds
192,Nueve De Julio,-35.4444,-60.8831,95.0,31,0,3.0,AR,clear sky
193,Hofn,64.2539,-15.2082,35.44,84,100,18.16,IS,overcast clouds
194,Kaka,37.3482,59.6143,51.04,77,100,5.03,TM,overcast clouds
195,Lompoc,34.6391,-120.4579,55.4,76,1,5.75,US,clear sky
196,Changying,52.8733,123.3213,-16.92,85,94,3.49,CN,overcast clouds
197,Mazagao,-0.115,-51.2894,91.4,66,40,9.22,BR,scattered clouds
198,Boa Vista,2.8197,-60.6733,87.8,48,75,14.97,BR,broken clouds
199,Alofi,-19.0595,-169.9187,77.0,88,100,4.61,NU,overcast clouds
200,Yatou,37.15,122.3833,37.62,83,54,11.39,CN,broken clouds
201,Henties Bay,-22.116,14.2845,64.99,87,16,1.99,NA,few clouds
202,Antalaha,-14.9003,50.2788,78.4,77,57,1.57,MG,broken clouds
203,Taltal,-25.4,-70.4833,69.13,61,18,6.17,CL,few clouds
204,Cayenne,4.9333,-52.3333,80.6,89,90,9.22,GF,overcast clouds
205,Olafsvik,64.8945,-23.7142,36.0,78,100,17.52,IS,overcast clouds
206,Taki,22.5861,88.9214,66.2,68,20,4.61,IN,haze
207,Pa Sang,18.5262,98.9394,79.0,64,20,3.44,TH,few clouds
208,Maniitsoq,65.4167,-52.9,24.93,78,0,11.88,GL,clear sky
209,Sayansk,54.1088,102.1648,6.13,93,100,5.46,RU,overcast clouds
210,Nikolskoye,59.7035,30.7861,10.99,79,75,15.66,RU,snow
211,Tashtagol,52.7657,87.8894,23.23,96,94,2.1,RU,overcast clouds
212,Dubti,11.7361,41.0853,77.22,55,37,15.99,ET,scattered clouds
213,Tromso,69.6496,18.957,28.4,69,75,11.5,NO,light snow
214,Aldan,58.6031,125.3894,-20.85,84,100,3.2,RU,overcast clouds
215,Mirabela,-16.2628,-44.1644,71.42,85,100,5.59,BR,overcast clouds
216,Krasnystaw,50.9846,23.1742,17.6,79,20,9.22,PL,few clouds
217,Vila Velha,-20.3297,-40.2925,87.8,62,20,12.66,BR,few clouds
218,Port Hardy,50.6996,-127.4199,42.8,93,75,12.66,CA,light rain
219,Coahuayana,18.7333,-103.6833,71.6,73,1,2.89,MX,clear sky
220,Kirovskiy,45.0917,133.5136,-8.41,86,42,2.73,RU,scattered clouds
221,Vila,42.0304,-8.1588,46.0,82,80,6.64,PT,broken clouds
222,Puerto Ayora,-0.7393,-90.3518,80.6,78,75,11.5,EC,moderate rain
223,Leningradskiy,69.3833,178.4167,-13.34,79,74,6.46,RU,broken clouds
224,Ouadda,8.0777,22.4007,77.99,20,94,5.37,CF,overcast clouds
225,Mehamn,71.0357,27.8492,25.72,94,100,19.71,NO,light snow
226,Sioux Lookout,50.1001,-91.917,-14.8,64,90,17.27,CA,snow
227,Hashtgerd,35.9642,50.6858,44.6,93,90,11.5,IR,fog
228,Westport,41.1415,-73.3579,42.8,52,1,16.11,US,clear sky
229,Belmonte,-15.8631,-38.8828,84.2,79,75,9.22,BR,broken clouds
230,Kongolo,-5.3833,27.0,73.85,89,100,2.15,CD,light rain
231,Volkhovskiy,58.58,31.3164,5.18,94,98,6.26,RU,overcast clouds
232,Walvis Bay,-22.9575,14.5053,68.0,73,19,6.91,NA,few clouds
233,Mumford,5.2618,-0.759,82.62,79,40,13.27,GH,scattered clouds
234,Tynda,55.1667,124.7167,-19.86,83,91,3.24,RU,overcast clouds
235,Sabha,27.0377,14.4283,68.72,22,43,6.96,LY,scattered clouds
236,Scarborough,54.2797,-0.4044,37.0,90,100,13.0,GB,light rain
237,Portland,45.5234,-122.6762,44.6,76,90,12.66,US,overcast clouds
238,Umm Lajj,25.0213,37.2685,72.79,56,0,17.2,SA,clear sky
239,Port Blair,11.6667,92.75,78.98,76,0,7.99,IN,clear sky
240,Fuerte,17.5381,120.3644,77.14,73,0,4.32,PH,clear sky
241,Saint Anthony,45.0205,-93.218,-0.4,60,90,18.41,US,haze
242,Rundu,-17.9333,19.7667,74.17,78,100,3.65,NA,overcast clouds
243,Garowe,8.4054,48.4845,73.71,58,0,16.75,SO,clear sky
244,Tharad,24.3961,71.6267,62.87,29,0,9.22,IN,clear sky
245,Najran,17.4924,44.1277,71.6,35,40,6.91,SA,scattered clouds
246,Lere,10.387,8.5726,85.53,15,72,7.67,NG,broken clouds
247,Te Anau,-45.4167,167.7167,52.21,85,26,1.01,NZ,scattered clouds
248,Muros,42.7762,-9.0603,52.0,60,9,1.99,ES,clear sky
249,Chinchani,19.8667,72.7,73.2,56,0,10.04,IN,clear sky
250,Cidreira,-30.1811,-50.2056,75.94,62,56,10.4,BR,broken clouds
251,West Wendover,40.7391,-114.0733,35.6,51,1,6.22,US,clear sky
252,Alyangula,-13.8483,136.4192,78.8,100,90,19.57,AU,moderate rain
253,Anadyr,64.75,177.4833,-9.0,77,0,11.18,RU,clear sky
254,Loikaw,19.6742,97.2094,64.27,54,12,2.82,MM,few clouds
255,Bushehr,28.9684,50.8385,69.8,94,40,9.22,IR,scattered clouds
256,Umba,66.6871,34.3429,19.53,94,87,13.33,RU,overcast clouds
257,Abu Zabad,12.35,29.25,67.46,24,34,10.83,SD,scattered clouds
258,Huautla,21.0333,-98.2833,74.82,72,1,4.52,MX,clear sky
259,Selma,36.5708,-119.6121,53.01,100,1,0.89,US,clear sky
260,Kahului,20.8947,-156.47,60.01,82,20,3.44,US,few clouds
261,Kalmunai,7.4167,81.8167,76.73,89,77,9.95,LK,moderate rain
262,Nanakuli,21.3906,-158.1547,66.2,77,90,12.66,US,overcast clouds
263,Weiser,44.251,-116.9693,41.0,56,75,5.75,US,broken clouds
264,Dickinson,29.4608,-95.0513,57.99,82,90,9.22,US,mist
265,Nemuro,43.3236,145.575,27.45,96,100,9.28,JP,overcast clouds
266,Santa Rosa,14.3122,121.1114,78.01,88,20,2.3,PH,few clouds
267,Guerrero Negro,27.9769,-114.0611,63.12,64,0,6.51,MX,clear sky
268,Chapais,49.7834,-74.8492,17.6,67,40,14.97,CA,scattered clouds
269,Constitucion,-35.3333,-72.4167,65.08,71,84,4.18,CL,broken clouds
270,Norsup,-16.0667,167.3833,78.6,77,9,4.07,VU,clear sky
271,Flinders,-34.5833,150.8552,64.99,88,0,1.01,AU,clear sky
272,Dubuque,42.4833,-90.8668,5.0,71,90,10.36,US,overcast clouds
273,Phanat Nikhom,13.4458,101.1844,84.0,69,12,4.5,TH,few clouds
274,Yulara,-25.2406,130.9889,75.2,35,18,6.91,AU,few clouds
275,Lisala,2.15,21.5167,81.82,45,4,2.01,CD,clear sky
276,Chumikan,54.7183,135.315,-9.42,82,100,13.04,RU,overcast clouds
277,Iqaluit,63.7506,-68.5145,23.0,86,90,16.11,CA,overcast clouds
278,Bengkulu,-3.8004,102.2655,76.48,82,82,5.48,ID,broken clouds
279,Vanimo,-2.6741,141.3028,77.07,85,99,4.29,PG,moderate rain
280,Isangel,-19.55,169.2667,77.56,80,0,3.29,VU,clear sky
281,Aden,12.7794,45.0367,75.11,66,3,5.14,YE,clear sky
282,Ranong,9.9658,98.6348,75.38,87,42,4.52,TH,scattered clouds
283,Iskateley,67.6803,53.1512,-25.35,85,54,12.39,RU,broken clouds
284,Usukhchay,41.4225,47.9132,39.2,81,20,4.61,RU,few clouds
285,Nehe,48.4833,124.8333,-4.68,86,40,7.7,CN,scattered clouds
286,Yanji,42.9075,129.5078,12.42,91,82,5.01,CN,broken clouds
287,La Ronge,55.1001,-105.2842,-27.4,68,2,5.75,CA,clear sky
288,Agadir,30.4202,-9.5982,60.8,63,40,17.27,MA,scattered clouds
289,Newport,51.5877,-2.9984,41.0,90,87,11.36,GB,overcast clouds
290,Natal,-5.795,-35.2094,87.8,55,75,10.36,BR,broken clouds
291,Ahipara,-35.1667,173.1667,58.5,87,84,4.05,NZ,broken clouds
292,Zeya,53.75,127.2667,-15.5,82,0,3.91,RU,clear sky
293,Uige,-7.6087,15.0613,78.8,73,75,9.22,AO,light rain
294,Ilulissat,69.2167,-51.1,19.4,38,40,17.27,GL,snow
295,Ponta Delgada,37.7333,-25.6667,59.0,88,40,18.41,PT,scattered clouds
296,Alice Springs,-23.7,133.8833,75.0,35,42,6.91,AU,scattered clouds
297,Samarai,-10.6167,150.6667,82.33,77,100,6.08,PG,overcast clouds
298,Suhbaatar,50.2314,106.2078,-5.03,89,15,3.94,MN,few clouds
299,Faanui,-16.4833,-151.75,81.48,69,0,10.04,PF,clear sky
300,Koslan,63.4564,48.8989,-9.47,87,70,10.16,RU,broken clouds
301,Atar,20.5169,-13.0499,74.91,20,26,18.01,MR,scattered clouds
302,Tara,56.8944,74.371,32.76,96,100,14.74,RU,overcast clouds
303,Yambio,4.5721,28.3955,80.28,17,15,5.21,SS,few clouds
304,Susangerd,31.5608,48.1831,60.8,100,90,7.05,IR,overcast clouds
305,Taoudenni,22.6783,-3.9836,77.94,20,44,17.58,ML,scattered clouds
306,Dunedin,-45.8742,170.5036,57.99,86,4,1.01,NZ,clear sky
307,Ponta Do Sol,32.6667,-17.1,60.01,57,47,4.0,PT,scattered clouds
308,Saint-Francois,46.4154,3.9054,48.99,100,0,3.44,FR,clear sky
309,Terme,41.2092,36.9739,50.0,71,0,1.14,TR,clear sky
310,Camacha,33.0833,-16.3333,59.0,67,40,18.41,PT,scattered clouds
311,Kyren,51.6828,102.1408,5.56,79,55,2.48,RU,broken clouds
312,La Libertad,-2.2333,-80.9,86.0,58,0,2.3,EC,clear sky
313,Camocim,-2.9022,-40.8411,88.5,55,87,17.36,BR,overcast clouds
314,Pevek,69.7008,170.3133,-1.64,86,100,2.24,RU,overcast clouds
315,Lozuvatka,48.0571,33.2858,23.0,68,0,4.47,UA,clear sky
316,Celestun,20.8667,-90.4,79.57,65,30,7.99,MX,scattered clouds
317,Khakhea,-24.6895,23.494,71.29,80,55,11.95,BW,light rain
318,Esperance,-33.8667,121.9,59.0,88,75,11.5,AU,light rain
319,Kyzyl-Suu,42.3414,78.0056,30.16,81,96,9.55,KG,overcast clouds
320,Birjand,32.8663,59.2211,50.0,11,0,11.5,IR,clear sky
321,Nakhon Phanom,17.3333,104.4167,63.91,82,0,6.69,TH,clear sky
322,Cabo San Lucas,22.8909,-109.9124,73.99,60,1,8.05,MX,clear sky
323,Camacupa,-12.0167,17.4833,69.37,88,100,4.32,AO,light rain
324,Aktash,50.3,87.7333,2.8,89,0,4.83,RU,clear sky
325,Sarakhs,36.5449,61.1577,51.8,66,75,4.65,IR,broken clouds
326,Sura,53.8879,45.7419,1.45,91,99,11.81,RU,overcast clouds
327,Vondrozo,-22.8167,47.2833,72.37,100,100,3.67,MG,light rain
328,Skibbereen,51.55,-9.2667,42.8,81,75,19.57,IE,broken clouds
329,Abu Samrah,35.3029,37.1841,55.81,64,0,7.74,SY,clear sky
330,Jieshi,22.8134,115.8257,65.1,79,0,4.03,CN,clear sky
331,Makakilo City,21.3469,-158.0858,66.2,77,90,12.66,US,overcast clouds
332,San Luis,-33.295,-66.3356,87.44,22,0,5.66,AR,clear sky
333,Turbat,26.0023,63.044,57.96,45,0,2.35,PK,clear sky
334,Necochea,-38.5473,-58.7368,75.0,60,6,14.29,AR,clear sky
335,Kupang,-10.1667,123.5833,79.43,83,95,7.85,ID,overcast clouds
336,Surt,31.2089,16.5887,70.18,39,61,11.05,LY,broken clouds
337,Coquimbo,-29.9533,-71.3436,66.2,68,75,9.22,CL,broken clouds
338,Derzhavinsk,51.1,66.3167,34.38,97,100,22.01,KZ,light snow
339,Sabya,17.1495,42.6254,78.8,65,20,3.44,SA,few clouds
340,Paamiut,61.994,-49.6678,23.04,81,0,7.18,GL,clear sky
341,Bereda,43.2686,-7.5406,44.01,90,47,5.99,ES,scattered clouds
342,Banda Aceh,5.5577,95.3222,78.67,83,46,7.87,ID,scattered clouds
343,Margate,51.3813,1.3862,45.0,91,99,3.0,GB,moderate rain
344,Muravlenko,63.7898,74.523,5.14,95,100,12.75,RU,light snow
345,Gamba,-2.65,10.0,81.23,85,86,8.14,GA,light rain
346,Brigantine,39.4101,-74.3646,48.2,31,20,18.41,US,few clouds
347,Catuday,16.2923,119.8062,77.58,80,6,7.07,PH,clear sky
348,Rosario Oeste,-14.8361,-56.4275,89.91,50,24,5.91,BR,few clouds
349,Ghanaur,30.3322,76.6072,53.56,61,0,8.41,IN,clear sky
